champion,winrate,csPerMinute,ka_d_ratio,pickrate
Aatrox,0.48405797101449277,5.0340821864743,1.6337967552979666,0.10454545454545454
Ahri,0.49868766404199477,4.836826636005094,1.6803277448367768,0.11545454545454545
Akali,0.45905707196029777,4.3465774561937005,2.1458949725300585,0.12212121212121212
Akshan,0.45918367346938777,5.172283554470219,2.1088654800914703,0.029696969696969697
Alistar,0.5483870967741935,1.1675620829520992,0.44151305683563746,0.028181818181818183
Amumu,0.5380434782608695,3.87969099898297,1.0137504574234786,0.055757575757575756
Anivia,0.4803921568627451,3.6568381278075694,1.3915041337619194,0.03090909090909091
Annie,0.4909090909090909,3.194731388237008,1.4496278676759962,0.03333333333333333
Aphelios,0.49712643678160917,5.452330899447693,1.3724071220267975,0.10545454545454545
Ashe,0.5098468271334792,4.386609053671883,1.3263270251508765,0.1384848484848485
AurelionSol,0.5029940119760479,5.37767029728208,1.54313683655001,0.050606060606060606
Azir,0.4158878504672897,5.578314669628131,1.1876085527233136,0.06484848484848485
Bard,0.4873417721518987,1.113380470037339,0.7808179028301887,0.04787878787878788
Belveth,0.44936708860759494,5.332869110900199,1.541553725810055,0.04787878787878788
Blitzcrank,0.5085470085470085,1.136010780878711,0.5142388318764639,0.07090909090909091
Brand,0.5259515570934256,2.9769307128795677,1.197958227472613,0.08757575757575757
Braum,0.45588235294117646,1.2105639167021232,0.4675181436210848,0.020606060606060607
Briar,0.5184210526315789,4.9947026415524505,1.5173338527227844,0.11515151515151516
Caitlyn,0.49471830985915494,5.226318213701651,1.5625763220600626,0.17212121212121212
Camille,0.5319148936170213,4.701570637344962,1.936286223684534,0.028484848484848484
Cassiopeia,0.43283582089552236,4.181978587150667,1.5536281857835852,0.020303030303030302
Chogath,0.5,4.282099942084897,1.7928432492021815,0.04909090909090909
Corki,0.5,4.091173719258775,1.1038557750217415,0.012727272727272728
Darius,0.45652173913043476,5.172193232439069,1.8344090111378777,0.08363636363636363
Diana,0.5568181818181818,5.408248810734197,1.5940604682750406,0.05333333333333334
DrMundo,0.5441176470588235,4.907624701423698,1.121916114930821,0.041212121212121214
Draven,0.503030303030303,5.199584170530689,1.7467677479976946,0.05
Ekko,0.5111111111111111,4.6653108304176305,2.1004246869926693,0.05454545454545454
Elise,0.5614035087719298,3.414125332519312,1.2785170339349907,0.017272727272727273
Evelynn,0.4879518072289157,4.1877979590826735,1.9214379677925035,0.0503030303030303
Ezreal,0.4943609022556391,5.059474966596014,1.8064319673397515,0.16121212121212122
FiddleSticks,0.5238095238095238,4.151055849193514,1.2075191914343364,0.04454545454545455
Fiora,0.5131578947368421,5.284885310039992,1.7312918154641515,0.04606060606060606
Fizz,0.5357142857142857,4.37866326886151,2.2634307273087124,0.05090909090909091
Galio,0.5256410256410257,3.4726503202439085,0.9929146530108068,0.023636363636363636
Gangplank,0.546875,5.554933520081152,1.384879562711594,0.03878787878787879
Garen,0.4837662337662338,5.688388238470568,1.7761333814093556,0.09333333333333334
Gnar,0.4948453608247423,4.882171268441758,1.3438790018686926,0.029393939393939392
Gragas,0.4049586776859504,4.199346216981708,1.4709320401955306,0.03666666666666667
Graves,0.5194805194805194,5.76711799764376,1.806573388920299,0.07
Gwen,0.48760330578512395,5.540665166727417,1.2263893877013712,0.07333333333333333
Hecarim,0.4723926380368098,5.646854025516641,1.3555595958834863,0.04939393939393939
Heimerdinger,0.4666666666666667,4.060621691798605,1.0522349704167886,0.05
Illaoi,0.5596330275229358,5.657500668629844,1.5393663553997436,0.06606060606060606
Irelia,0.5644171779141104,6.163388186605366,1.5843901006567915,0.04939393939393939
Ivern,0.5555555555555556,3.552832842115158,0.9949915439498773,0.02181818181818182
Janna,0.47863247863247865,0.8396752195714094,0.5298862343734139,0.035454545454545454
JarvanIV,0.5089820359281437,4.536413382596525,1.4486487608317478,0.050606060606060606
Jax,0.5384615384615384,4.914781874477546,1.8556026655894182,0.09454545454545454
Jayce,0.4496124031007752,5.394622353757282,1.308061631078047,0.03909090909090909
Jhin,0.5214592274678111,5.162698902073873,2.0743360240141357,0.1412121212121212
Jinx,0.482837528604119,5.263173602943255,1.5423424597202149,0.13242424242424242
KSante,0.4107142857142857,5.0920186595099315,1.2967252234518516,0.06787878787878789
Kaisa,0.4396551724137931,5.303753711016381,1.674914885608344,0.10545454545454545
Kalista,0.41818181818181815,5.256862741077795,1.673273873919807,0.03333333333333333
Karma,0.44537815126050423,1.5222469527761586,0.7309364593225196,0.036060606060606064
Karthus,0.42452830188679247,4.859657222310963,0.9426068481109663,0.03212121212121212
Kassadin,0.4230769230769231,4.759701110761812,2.033241081756353,0.01575757575757576
Katarina,0.5238095238095238,4.511052768787161,1.7685156621707558,0.057272727272727274
Kayle,0.5287356321839081,5.592678770829964,1.1382434375968857,0.05272727272727273
Kayn,0.4932821497120921,5.218282010552559,1.5306635650475342,0.15787878787878787
Kennen,0.5068493150684932,4.296131530182162,1.4243468009011502,0.02212121212121212
Khazix,0.5533333333333333,4.8770880337081195,2.184059011037272,0.045454545454545456
Kindred,0.49230769230769234,4.810744800442155,1.262969826309014,0.03939393939393939
Kled,0.5666666666666667,4.532747969066084,1.167700896812739,0.01818181818181818
KogMaw,0.532258064516129,4.457023657179819,1.41636672899656,0.037575757575757575
Leblanc,0.43956043956043955,3.7986634510127963,2.0159549546912183,0.027575757575757576
LeeSin,0.437984496124031,4.494664906676522,1.5228617295936757,0.07818181818181819
Leona,0.4556213017751479,1.2512696744821055,0.541220269238845,0.05121212121212121
Lillia,0.4954128440366973,4.943985338916547,1.4050637563252244,0.06606060606060606
Lissandra,0.5238095238095238,4.362478993559812,1.1363376007172998,0.025454545454545455
Lucian,0.47878787878787876,5.291176540559056,1.944432291811971,0.05
Lulu,0.5403225806451613,0.9992126214851145,0.42327562199166613,0.037575757575757575
Lux,0.4773413897280967,2.575730282597604,1.3790830590435177,0.2006060606060606
Malphite,0.555,4.004985046577126,1.5870789782113313,0.06060606060606061
Malzahar,0.5209580838323353,6.299511633278307,1.4295545092260487,0.050606060606060606
Maokai,0.5294117647058824,3.0483043923353423,0.8146989208407893,0.056666666666666664
MasterYi,0.5068493150684932,4.644388576331143,1.423744152304524,0.06636363636363636
Milio,0.5339805825242718,0.7334803939822405,0.3109318674852656,0.031212121212121212
MissFortune,0.4989733059548255,4.922253993534155,1.6894234084570605,0.14757575757575758
MonkeyKing,0.5,4.591021965136658,1.6253543762513796,0.025454545454545455
Mordekaiser,0.5300353356890459,4.722122444455259,1.6882819745556183,0.08575757575757575
Morgana,0.4799054373522459,2.109766831520012,0.9180854589021047,0.12818181818181817
Naafiri,0.5245901639344263,5.2305421867871305,2.040094045378774,0.05545454545454546
Nami,0.5169082125603864,0.5537724392536473,0.5917828181574984,0.06272727272727273
Nasus,0.5520361990950227,5.379788405016219,1.6121353779188978,0.06696969696969697
Nautilus,0.4863636363636364,1.4031780295220029,0.4808398097001038,0.06666666666666667
Neeko,0.5371900826446281,2.9795400448640357,1.3520030531910698,0.07333333333333333
Nidalee,0.41228070175438597,2.951382510919907,1.5034037685740473,0.034545454545454546
Nilah,0.5963302752293578,5.440898693763156,1.7169410934514466,0.03303030303030303
Nocturne,0.4659090909090909,5.033994244815835,1.753034539414753,0.08
Nunu,0.47058823529411764,4.1201373423359,0.9622204654279869,0.046363636363636364
Olaf,0.5135135135135135,5.5024105537645305,1.80359945984946,0.022424242424242423
Orianna,0.5503875968992248,5.059187666853645,1.599054032492815,0.07818181818181819
Ornn,0.504,4.696852215681098,1.02417244451455,0.03787878787878788
Pantheon,0.4864864864864865,3.4827147829873306,1.5277200765252237,0.08969696969696969
Poppy,0.5606060606060606,3.910823725855489,1.1550909330321095,0.04
Pyke,0.508130081300813,1.3084651592481245,1.3983022679669022,0.07454545454545454
Qiyana,0.43010752688172044,4.369412921885903,1.774857042598978,0.028181818181818183
Quinn,0.45794392523364486,4.471843552573573,1.5362762725943044,0.032424242424242425
Rakan,0.3945945945945946,1.324591256581012,0.46464063714063714,0.05606060606060606
Rammus,0.5714285714285714,4.3938818884851045,1.3568430215476033,0.036060606060606064
RekSai,0.4666666666666667,4.410736754335275,1.1323863173863173,0.00909090909090909
Rell,0.5365853658536586,2.279281542101088,0.5010704827015803,0.0496969696969697
Renata,0.5341614906832298,0.8279102866694703,0.5740600927712729,0.04878787878787879
Renekton,0.5398773006134969,5.604996847237347,1.8785698167464677,0.04939393939393939
Rengar,0.41333333333333333,4.8762642444826065,1.5284954109071756,0.022727272727272728
Riven,0.4672131147540984,5.170404514193941,1.5408408879238196,0.03696969696969697
Rumble,0.4489795918367347,4.717374869070615,1.4151485635879395,0.029696969696969697
Ryze,0.56,5.011088226115832,1.7045993265993267,0.022727272727272728
Samira,0.4602076124567474,5.210954441678567,1.8018177961472872,0.08757575757575757
Sejuani,0.4787234042553192,4.112475720468206,0.9864114175115591,0.028484848484848484
Senna,0.49036402569593146,1.568784295174182,1.1549199939330939,0.1415151515151515
Seraphine,0.5235294117647059,2.284230086877101,0.9549517574409442,0.10303030303030303
Sett,0.5239520958083832,4.606618496373567,1.3669086434386715,0.10121212121212121
Shaco,0.4219409282700422,3.4508028156950075,1.4230192124551766,0.07181818181818182
Shen,0.5042016806722689,3.5345036789067947,1.270857480521346,0.036060606060606064
Shyvana,0.5073529411764706,5.687415787930908,1.3732401687364924,0.041212121212121214
Singed,0.5192307692307693,5.429021996270331,1.2083456780974047,0.03151515151515152
Sion,0.4909090909090909,5.311398772379661,1.0376730602532742,0.05
Sivir,0.5172413793103449,5.996991192580018,1.1928372680958887,0.04393939393939394
Skarner,0.46,4.36396040643222,1.1683109668109668,0.015151515151515152
Sona,0.4503311258278146,0.664006089020052,0.622469766204517,0.04575757575757576
Soraka,0.5172413793103449,0.5433224708659127,0.29817604398885184,0.061515151515151516
Swain,0.4883720930232558,2.624425621153322,1.2780588008875682,0.07818181818181819
Sylas,0.4840989399293286,3.8787734579718607,1.6675041713474745,0.08575757575757575
Syndra,0.48502994011976047,5.376957587298382,1.7831816626682777,0.050606060606060606
TahmKench,0.46946564885496184,3.261905411310996,1.516512678934098,0.07939393939393939
Taliyah,0.4528301886792453,5.053114438797374,1.4548778506984112,0.04818181818181818
Talon,0.4722222222222222,4.861802536998136,1.8280314177168753,0.03272727272727273
Taric,0.5,1.8743310405569131,0.48459923914469366,0.02
Teemo,0.4905149051490515,4.5503733145708765,0.9583572079799646,0.11181818181818182
Thresh,0.551948051948052,1.6039083172775779,0.6353407934481272,0.09333333333333334
Tristana,0.516260162601626,5.199759791725297,1.6862275813386778,0.07454545454545454
Trundle,0.475,4.854754474264977,1.211668505106005,0.024242424242424242
Tryndamere,0.5037037037037037,5.803395106281277,1.3834601739340302,0.04090909090909091
TwistedFate,0.5860215053763441,4.801073863241087,1.2227119797246024,0.056363636363636366
Twitch,0.47547169811320755,4.462542809332655,1.9511155761925376,0.0803030303030303
Udyr,0.5182481751824818,5.0821578675044075,1.2356616144985333,0.04151515151515151
Urgot,0.5161290322580645,5.465320870853622,1.4770194747009262,0.037575757575757575
Varus,0.5187713310580204,5.084441247367734,1.9385926393756148,0.08878787878787879
Vayne,0.5112994350282486,4.973043978782857,1.7830683954397055,0.10727272727272727
Veigar,0.5096774193548387,4.619858566539834,1.579909219884502,0.09393939393939393
Velkoz,0.525974025974026,2.316564384778512,1.4348609652201185,0.04666666666666667
Vex,0.5223880597014925,4.371648542949368,1.7599035487973154,0.060909090909090906
Vi,0.5333333333333333,4.608630287503711,1.4092727591580119,0.05454545454545454
Viego,0.5283842794759825,5.147663591806154,1.6984248826208754,0.0693939393939394
Viktor,0.527027027027027,4.853826003404458,1.634986934986935,0.022424242424242423
Vladimir,0.49523809523809526,4.804126430577044,1.656657600102978,0.031818181818181815
Volibear,0.5362318840579711,4.837124344047287,1.2701599220141422,0.06272727272727273
Warwick,0.5441176470588235,4.5504109824126004,1.5974273856133092,0.08242424242424243
Xayah,0.532258064516129,5.525152121637315,1.7281163393058554,0.07515151515151515
Xerath,0.5043859649122807,2.7264814817590106,1.5541976115989273,0.06909090909090909
XinZhao,0.5258620689655172,4.822551479110938,1.4356778342516174,0.03515151515151515
Yasuo,0.5160493827160494,6.074435760794789,1.4998327090483952,0.12272727272727273
Yone,0.501358695652174,5.990753647555613,1.5582117058458191,0.22303030303030302
Yorick,0.5492957746478874,6.386526969985526,1.4602637992927094,0.04303030303030303
Yuumi,0.5794871794871795,0.21312526553090697,0.7252537277537278,0.05909090909090909
Zac,0.47580645161290325,4.069678155318053,1.3124357721131914,0.037575757575757575
Zed,0.458128078817734,5.200710735215461,2.1613260097866007,0.061515151515151516
Zeri,0.5048543689320388,6.07071314847345,1.6198117328710406,0.031212121212121212
Ziggs,0.5497630331753555,4.878923423121507,1.4202445921640234,0.06393939393939393
Zilean,0.4470588235294118,1.9470701523088445,0.9431340881340882,0.025757575757575757
Zoe,0.45255474452554745,3.2358969695595112,1.3647888159989583,0.04151515151515151
Zyra,0.5380952380952381,2.1892666701153547,0.9963017934446506,0.06363636363636363
